id_pedido;dt_pedido;id_cliente;nm_categoria_produto;nm_regiao;nr_quantidade;nr_preco_unitario;vl_desconto;nr_dias_para_entrega;nr_estrela_cliente;ds_metodo_pagamento
"76113";2022-12-01 00:00:00,000;"6915";"Esportes";"Sudeste";1;14,99;0,17;3;5;"Pix"
"64097";2006-08-24 00:00:00,000;"4131";"Pets";"Sudeste";1;79,3;0,26;7;5;"Pix"
"23953";2022-02-09 00:00:00,000;"3180";"Automotivo";"Sudeste";1;63,54;0,25;12;5;"Pix"
"42311";2022-09-13 00:00:00,000;"5745";"Beleza e Cosméticos";"Sudeste";1;8,24;0,2;4;5;"Pix"
"72982";2014-11-05 00:00:00,000;"5537";"Pets";"Sudeste";1;791,78;0,15;14;5;"Pix"
"17225";2024-03-17 00:00:00,000;"1545";"Roupas e Acessórios";"Sudeste";1;16,94;0,1;9;5;"Pix"
"19148";2017-06-26 00:00:00,000;"3564";"Automotivo";"Sudeste";1;68,69;0,2;2;5;"Pix"
"63474";2009-06-19 00:00:00,000;"2129";"Brinquedos";"Sudeste";1;42,14;0,19;7;5;"Pix"
"47853";2010-05-27 00:00:00,000;"2713";"Mobília";"Sudeste";1;194,36;0,04;4;5;"Pix"
"66557";2019-05-08 00:00:00,000;"6764";"Eletrônicos";"Sudeste";1;92,14;0,29;20;5;"Pix"
"15984";2017-04-01 00:00:00,000;"4182";"Beleza e Cosméticos";"Sudeste";1;2,96;0,09;2;5;"Pix"
"99356";2007-02-27 00:00:00,000;"2365";"Beleza e Cosméticos";"Sudeste";1;10,84;0,27;18;5;"Pix"
"27535";2013-06-05 00:00:00,000;"5053";"Roupas e Acessórios";"Sudeste";1;3,21;0,3;1;5;"Pix"
"94366";2006-08-19 00:00:00,000;"3249";"Saúde";"Sudeste";1;289,21;0,19;9;5;"Pix"
"44714";2023-08-13 00:00:00,000;"1960";"Casa";"Sudeste";1;104,9;0,11;5;5;"Pix"
"67380";2024-08-01 00:00:00,000;"4621";"Roupas e Acessórios";"Sudeste";1;4,72;0,03;6;5;"Pix"
"57593";2023-01-07 00:00:00,000;"1664";"Automotivo";"Sudeste";1;10,11;0,27;3;5;"Pix"
"106400";2004-05-21 00:00:00,000;"6504";"Esportes";"Sudeste";1;498,04;0,18;20;5;"Pix"
"45775";2021-06-18 00:00:00,000;"2317";"Roupas e Acessórios";"Sudeste";1;462,92;0,11;8;5;"Pix"
"60587";2004-03-02 00:00:00,000;"3204";"Brinquedos";"Sudeste";1;604,14;0,02;20;5;"Pix"
"21713";2014-02-01 00:00:00,000;"5720";"Casa";"Sudeste";1;828,15;0,23;1;5;"Pix"
"62659";2022-10-31 00:00:00,000;"1828";"Casa";"Sudeste";1;4,8;0,1;15;5;"Pix"
"83527";2024-08-02 00:00:00,000;"5545";"Roupas e Acessórios";"Sudeste";1;230,46;0,02;1;5;"Pix"
"31625";2010-04-12 00:00:00,000;"5881";"Roupas e Acessórios";"Sudeste";1;324,65;0,18;1;5;"Pix"
"27184";2007-06-30 00:00:00,000;"1484";"Grocery";"Sudeste";1;27,12;0,08;9;5;"Pix"
"55956";2010-04-01 00:00:00,000;"4631";"Eletrônicos";"Sudeste";1;65,06;0,22;4;5;"Pix"
"21512";2006-11-17 00:00:00,000;"4426";"Automotivo";"Sudeste";1;3,5;0,05;9;5;"Pix"
"93447";2017-07-28 00:00:00,000;"5588";"Livros";"Sudeste";1;211,29;0,25;18;5;"Pix"
"38590";2005-06-03 00:00:00,000;"5723";"Automotivo";"Sudeste";1;127,05;0,12;2;5;"Pix"
"21578";2013-08-12 00:00:00,000;"3872";"Beleza e Cosméticos";"Sudeste";1;483,45;0,15;2;5;"Pix"
"63248";2009-04-11 00:00:00,000;"4167";"Brinquedos";"Sudeste";1;422,17;0,05;17;5;"Pix"
"40758";2015-12-16 00:00:00,000;"2222";"Roupas e Acessórios";"Sudeste";1;6,01;0,19;1;5;"Pix"
"72635";2009-10-28 00:00:00,000;"5843";"Casa";"Sudeste";1;722,6;0,29;14;5;"Pix"
"58996";2017-09-16 00:00:00,000;"4773";"Roupas e Acessórios";"Sudeste";1;4,26;0,12;20;5;"Pix"
"32592";2017-05-16 00:00:00,000;"4395";"Livros";"Sudeste";1;332,51;0,21;7;5;"Pix"
"56478";2017-05-10 00:00:00,000;"6073";"Casa";"Sudeste";1;5,49;0,28;16;5;"Pix"
"113477";2020-05-02 00:00:00,000;"3157";"Eletrônicos";"Sudeste";1;186,66;0,01;4;5;"Pix"
"36906";2018-08-02 00:00:00,000;"2747";"Brinquedos";"Sudeste";1;250,03;0,12;12;5;"Pix"
"57217";2019-12-16 00:00:00,000;"1764";"Esportes";"Sudeste";1;868,03;0,1;3;5;"Pix"
"69496";2020-01-21 00:00:00,000;"4916";"Beleza e Cosméticos";"Sudeste";1;53,86;0,13;12;5;"Pix"
"51360";2012-06-29 00:00:00,000;"2107";"Eletrônicos";"Sudeste";1;130,79;0,12;18;5;"Pix"
"87101";2025-06-03 00:00:00,000;"3736";"Grocery";"Sudeste";1;12,65;0,11;7;5;"Pix"
"60354";2014-09-26 00:00:00,000;"6543";"Saúde";"Sudeste";1;649,38;0,23;18;5;"Pix"
"61758";2015-10-05 00:00:00,000;"1700";"Automotivo";"Sudeste";1;134,94;0,06;13;5;"Pix"
"95483";2018-08-31 00:00:00,000;"6039";"Brinquedos";"Sudeste";1;73,04;0,02;17;5;"Pix"
"32012";2020-01-14 00:00:00,000;"5663";"Automotivo";"Sudeste";1;5,99;0,12;6;5;"Pix"
"74699";2015-09-16 00:00:00,000;"2774";"Esportes";"Sudeste";1;3,7;0,05;15;5;"Pix"
"62741";2014-08-09 00:00:00,000;"2196";"Roupas e Acessórios";"Sudeste";1;967,85;0,02;7;5;"Pix"
"102201";2012-05-04 00:00:00,000;"2791";"Roupas e Acessórios";"Sudeste";1;68,59;0,19;1;5;"Pix"
"107631";2010-07-22 00:00:00,000;"3123";"Roupas e Acessórios";"Sudeste";1;2,73;0,15;5;5;"Pix"
"43599";2019-03-18 00:00:00,000;"5676";"Brinquedos";"Sudeste";1;3,93;0,29;16;5;"Pix"
"68536";2026-07-21 00:00:00,000;"3435";"Esportes";"Sudeste";1;736,18;0,12;17;5;"Pix"
"77506";2026-02-10 00:00:00,000;"4622";"Roupas e Acessórios";"Sudeste";1;358,66;0,24;19;5;"Pix"
"87698";2014-03-14 00:00:00,000;"5159";"Casa";"Sudeste";1;59,36;0,05;7;5;"Pix"
"96784";2012-11-15 00:00:00,000;"5522";"Automotivo";"Sudeste";1;15,12;0,07;5;5;"Pix"
"52493";2010-01-27 00:00:00,000;"4868";"Beleza e Cosméticos";"Sudeste";1;754,62;0,28;2;5;"Pix"
"111236";2018-08-02 00:00:00,000;"3819";"Grocery";"Sudeste";1;158,05;0,19;4;5;"Pix"
"49503";2018-07-29 00:00:00,000;"4746";"Casa";"Sudeste";1;319,92;0,08;14;5;"Pix"
"46294";2018-02-08 00:00:00,000;"1086";"Casa";"Sudeste";1;13,6;0,1;15;5;"Pix"
"99285";2023-02-16 00:00:00,000;"6973";"Saúde";"Sudeste";1;147,33;0,11;9;5;"Pix"
"52101";2023-04-15 00:00:00,000;"1211";"Casa";"Sudeste";1;2,44;0,07;6;5;"Pix"
"109634";2020-10-30 00:00:00,000;"5424";"Roupas e Acessórios";"Sudeste";1;776,29;0,14;6;5;"Pix"
"39274";2008-01-28 00:00:00,000;"6341";"Brinquedos";"Sudeste";1;2,5;0,22;8;5;"Pix"
"20175";2006-03-29 00:00:00,000;"2296";"Mobília";"Sudeste";1;343,84;0,02;17;5;"Pix"
"80970";2006-05-17 00:00:00,000;"4687";"Beleza e Cosméticos";"Sudeste";1;558,11;0,05;9;5;"Pix"
"64901";2007-01-08 00:00:00,000;"5326";"Eletrônicos";"Sudeste";1;164,55;0,1;7;5;"Pix"
"55810";2012-01-07 00:00:00,000;"2792";"Mobília";"Sudeste";1;31,98;0,26;5;5;"Pix"
"93033";2007-08-06 00:00:00,000;"4237";"Casa";"Sudeste";1;15,21;0,13;6;5;"Pix"
"97007";2012-01-08 00:00:00,000;"6609";"Automotivo";"Sudeste";1;3,36;0,15;9;5;"Pix"
"51144";2024-09-30 00:00:00,000;"1842";"Livros";"Sudeste";1;12,6;0,02;19;5;"Pix"
"28702";2026-04-07 00:00:00,000;"2411";"Eletrônicos";"Sudeste";1;4,58;0,12;2;5;"Pix"
"114671";2016-04-27 00:00:00,000;"6998";"Eletrônicos";"Sudeste";1;306,07;0,05;18;5;"Pix"
"43059";2020-06-23 00:00:00,000;"2716";"Casa";"Sudeste";1;6,54;0,22;13;5;"Pix"
"22040";2007-08-15 00:00:00,000;"4647";"Eletrônicos";"Sudeste";1;166,39;0,18;11;5;"Pix"
"105886";2017-03-30 00:00:00,000;"4335";"Livros";"Sudeste";1;45,66;0,14;1;5;"Pix"
"96901";2011-01-15 00:00:00,000;"3892";"Pets";"Sudeste";1;390,64;0,28;17;5;"Pix"
"17344";2006-03-07 00:00:00,000;"5121";"Saúde";"Sudeste";1;11,32;0,03;19;5;"Pix"
"106933";2012-03-19 00:00:00,000;"2663";"Grocery";"Sudeste";1;25,71;0,04;1;5;"Pix"
"59985";2023-07-12 00:00:00,000;"1907";"Grocery";"Sudeste";1;5,9;0,15;17;5;"Pix"
"42262";2025-03-08 00:00:00,000;"4884";"Eletrônicos";"Sudeste";1;19,87;0,04;13;5;"Pix"
"89111";2015-10-19 00:00:00,000;"6421";"Eletrônicos";"Sudeste";1;1036,34;0,3;11;5;"Pix"
"25069";2020-01-18 00:00:00,000;"5331";"Eletrônicos";"Sudeste";1;30,81;0,18;7;5;"Pix"
"62102";2007-01-07 00:00:00,000;"6275";"Eletrônicos";"Sudeste";1;33,84;0,26;20;5;"Pix"
"61724";2016-11-14 00:00:00,000;"3369";"Eletrônicos";"Sudeste";1;6,45;0,14;4;5;"Pix"
"96274";2004-09-28 00:00:00,000;"5825";"Eletrônicos";"Sudeste";1;21,17;0,03;19;5;"Pix"
"33623";2024-08-18 00:00:00,000;"2181";"Esportes";"Sudeste";1;900,49;0,13;4;5;"Pix"
"23111";2013-08-09 00:00:00,000;"2584";"Beleza e Cosméticos";"Sudeste";1;78,95;0,28;1;5;"Pix"
"74075";2020-08-09 00:00:00,000;"3985";"Esportes";"Sudeste";1;2,47;0,17;8;5;"Pix"
"90015";2007-07-17 00:00:00,000;"3082";"Saúde";"Sudeste";1;549,07;0,07;16;5;"Pix"
"114590";2014-07-15 00:00:00,000;"1524";"Beleza e Cosméticos";"Sudeste";1;3,44;0,02;3;5;"Pix"
"84791";2023-06-06 00:00:00,000;"6097";"Automotivo";"Sudeste";1;600,91;0,24;11;5;"Pix"
"50555";2008-06-30 00:00:00,000;"6800";"Livros";"Sudeste";1;95,82;0,04;14;5;"Pix"
"102141";2024-07-21 00:00:00,000;"5237";"Grocery";"Sudeste";1;6,18;0,13;18;5;"Pix"
"72675";2024-08-23 00:00:00,000;"3052";"Grocery";"Sudeste";1;267,62;0,15;3;5;"Pix"
"40602";2019-09-09 00:00:00,000;"4918";"Saúde";"Sudeste";1;3,84;0,01;1;5;"Pix"
"65105";2017-04-12 00:00:00,000;"6831";"Pets";"Sudeste";1;76,33;0,03;14;5;"Pix"
"93937";2017-01-31 00:00:00,000;"2803";"Roupas e Acessórios";"Sudeste";1;139,17;0,02;6;5;"Pix"
"103867";2018-11-03 00:00:00,000;"1589";"Roupas e Acessórios";"Sudeste";1;4,72;0,23;7;5;"Pix"
"58104";2020-02-03 00:00:00,000;"5778";"Roupas e Acessórios";"Sudeste";1;13,56;0,24;13;5;"Pix"
"48110";2005-06-20 00:00:00,000;"3513";"Brinquedos";"Sudeste";1;7,1;0,15;12;5;"Pix"
"57889";2011-03-27 00:00:00,000;"1666";"Beleza e Cosméticos";"Sudeste";1;3,04;0,04;19;5;"Pix"
"65417";2013-11-15 00:00:00,000;"3315";"Eletrônicos";"Sudeste";1;2,3;0,16;1;5;"Pix"
"86251";2005-02-16 00:00:00,000;"3048";"Mobília";"Sudeste";1;182,19;0,13;15;5;"Pix"
"70324";2016-12-11 00:00:00,000;"6613";"Eletrônicos";"Sudeste";1;75,08;0,11;2;5;"Pix"
"68697";2008-10-15 00:00:00,000;"5897";"Esportes";"Sudeste";1;580,3;0,1;1;5;"Pix"
"101399";2005-02-23 00:00:00,000;"5759";"Pets";"Sudeste";1;349,09;0,16;19;5;"Pix"
"81426";2024-02-21 00:00:00,000;"1489";"Eletrônicos";"Sudeste";1;5,24;0,23;5;5;"Pix"
"88696";2014-05-16 00:00:00,000;"4455";"Eletrônicos";"Sudeste";1;271,22;0,3;9;5;"Pix"
"103902";2010-07-31 00:00:00,000;"6211";"Grocery";"Sudeste";1;167,59;0,23;6;5;"Pix"
"94114";2007-11-29 00:00:00,000;"5879";"Roupas e Acessórios";"Sudeste";1;74,66;0,18;1;5;"Pix"
"57465";2022-07-24 00:00:00,000;"2928";"Saúde";"Sudeste";1;37,79;0,27;1;5;"Pix"
"41105";2014-02-24 00:00:00,000;"5390";"Esportes";"Sudeste";1;2;0,09;1;5;"Pix"
"95028";2017-01-16 00:00:00,000;"6523";"Saúde";"Sudeste";1;8,43;0,12;20;5;"Pix"
"80786";2016-06-11 00:00:00,000;"1765";"Automotivo";"Sudeste";1;6,82;0,21;1;5;"Pix"
"78483";2009-06-29 00:00:00,000;"6931";"Brinquedos";"Sudeste";1;4,69;0,1;14;5;"Pix"
"35009";2021-09-15 00:00:00,000;"2344";"Livros";"Sudeste";1;207,54;0,06;3;5;"Pix"
"78862";2017-02-04 00:00:00,000;"3027";"Saúde";"Sudeste";1;14,48;0,08;2;5;"Pix"
"98916";2025-10-24 00:00:00,000;"3882";"Eletrônicos";"Sudeste";1;2,76;0,19;7;5;"Pix"
"78118";2009-04-18 00:00:00,000;"4400";"Brinquedos";"Sudeste";1;365,92;0,16;16;5;"Pix"
"31746";2015-07-11 00:00:00,000;"4955";"Saúde";"Sudeste";1;474,95;0,07;14;5;"Pix"
"38089";2011-10-18 00:00:00,000;"4398";"Grocery";"Sudeste";1;17,25;0,05;20;5;"Pix"
"75840";2019-12-10 00:00:00,000;"1699";"Mobília";"Sudeste";1;455,69;0,08;6;5;"Pix"
"26485";2019-09-27 00:00:00,000;"2930";"Casa";"Sudeste";1;34,24;0,03;2;5;"Pix"
"92395";2018-12-10 00:00:00,000;"3613";"Brinquedos";"Sudeste";1;68,07;0,18;7;5;"Pix"
"40033";2020-04-20 00:00:00,000;"4301";"Esportes";"Sudeste";1;562,98;0,2;16;5;"Pix"
"79475";2015-05-14 00:00:00,000;"1433";"Beleza e Cosméticos";"Sudeste";1;10,41;0,03;18;5;"Pix"
"31646";2013-02-12 00:00:00,000;"2859";"Esportes";"Sudeste";1;51,53;0,22;3;5;"Pix"
"28089";2007-09-28 00:00:00,000;"1750";"Brinquedos";"Sudeste";1;3,35;0,11;11;5;"Pix"
"44035";2023-04-25 00:00:00,000;"1142";"Livros";"Sudeste";1;21,39;0,03;19;5;"Pix"
"24590";2011-03-31 00:00:00,000;"3426";"Casa";"Sudeste";1;186,2;0,27;5;5;"Pix"
"69995";2006-07-10 00:00:00,000;"4048";"Automotivo";"Sudeste";1;483,56;0,29;4;5;"Pix"
"82820";2011-06-24 00:00:00,000;"3849";"Pets";"Sudeste";1;124,87;0,15;3;5;"Pix"
"36560";2019-11-12 00:00:00,000;"4766";"Eletrônicos";"Sudeste";1;8,03;0,3;9;5;"Pix"
"68753";2022-10-26 00:00:00,000;"1971";"Pets";"Sudeste";1;752,76;0,13;5;5;"Pix"
"62484";2017-10-16 00:00:00,000;"3942";"Roupas e Acessórios";"Sudeste";1;2,76;0,01;12;5;"Pix"
"73728";2010-04-11 00:00:00,000;"1223";"Saúde";"Sudeste";1;34,96;0,13;12;5;"Pix"
"58580";2013-07-28 00:00:00,000;"3568";"Mobília";"Sudeste";1;189,13;0,03;3;5;"Pix"
"97187";2015-02-25 00:00:00,000;"3580";"Pets";"Sudeste";1;5,18;0,02;8;5;"Pix"
"22900";2015-04-05 00:00:00,000;"5864";"Livros";"Sudeste";1;999,45;0,24;18;5;"Pix"
"49652";2014-07-24 00:00:00,000;"5062";"Esportes";"Sudeste";1;997,41;0,09;11;5;"Pix"
"54900";2011-09-28 00:00:00,000;"1358";"Grocery";"Sudeste";1;74,51;0,17;1;5;"Pix"
"79863";2023-08-21 00:00:00,000;"6024";"Brinquedos";"Sudeste";1;332,5;0,01;10;5;"Pix"
"65873";2006-04-25 00:00:00,000;"6281";"Roupas e Acessórios";"Sudeste";1;11,82;0,24;10;5;"Pix"
"103337";2007-09-09 00:00:00,000;"3351";"Saúde";"Sudeste";1;228,01;0,18;3;5;"Pix"
"11830";2026-03-18 00:00:00,000;"1041";"Eletrônicos";"Sudeste";1;282,52;0,31;3;5;"Pix"
"24231";2018-06-01 00:00:00,000;"1685";"Automotivo";"Sudeste";1;15,82;0,27;18;5;"Pix"
"44436";2020-08-06 00:00:00,000;"3869";"Beleza e Cosméticos";"Sudeste";1;45,97;0,12;20;5;"Pix"
"29001";2005-08-19 00:00:00,000;"1889";"Grocery";"Sudeste";1;46,64;0,27;3;5;"Pix"
"81968";2006-05-22 00:00:00,000;"6857";"Pets";"Sudeste";1;30,16;0,19;6;5;"Pix"
"37374";2010-01-26 00:00:00,000;"5438";"Mobília";"Sudeste";1;25,46;0,03;3;5;"Pix"
"35653";2006-04-28 00:00:00,000;"5847";"Brinquedos";"Sudeste";1;4,13;0,27;25;5;"Pix"
"86977";2013-07-12 00:00:00,000;"2582";"Beleza e Cosméticos";"Sudeste";1;115,98;0,08;9;5;"Pix"
"86843";2005-07-07 00:00:00,000;"3970";"Brinquedos";"Sudeste";1;601,21;0,18;13;5;"Pix"
"89312";2012-11-25 00:00:00,000;"6286";"Saúde";"Sudeste";1;650,16;0,14;3;5;"Pix"
"80598";2015-09-05 00:00:00,000;"2022";"Beleza e Cosméticos";"Sudeste";1;3,58;0,18;14;5;"Pix"
"19149";2023-05-22 00:00:00,000;"6613";"Livros";"Sudeste";1;174,41;0,26;15;5;"Pix"
"95449";2017-11-02 00:00:00,000;"1199";"Casa";"Sudeste";1;5,64;0,13;17;5;"Pix"
"42671";2017-04-03 00:00:00,000;"5526";"Saúde";"Sudeste";1;190,27;0,02;18;5;"Pix"
"78485";2023-10-06 00:00:00,000;"2670";"Casa";"Sudeste";1;134,68;0,15;15;5;"Pix"
"55912";2020-12-23 00:00:00,000;"3795";"Casa";"Sudeste";1;83,67;0,03;4;5;"Pix"
"94431";2014-04-21 00:00:00,000;"2250";"Eletrônicos";"Sudeste";1;105,59;0,27;6;5;"Pix"
"16858";2011-01-22 00:00:00,000;"5825";"Eletrônicos";"Sudeste";1;10,66;0,17;4;5;"Pix"
"54947";2021-08-15 00:00:00,000;"6985";"Beleza e Cosméticos";"Sudeste";1;16,74;0,21;17;5;"Pix"
"25002";2023-10-21 00:00:00,000;"4239";"Esportes";"Sudeste";1;7,12;0,19;2;5;"Pix"
"43820";2020-09-13 00:00:00,000;"6533";"Esportes";"Sudeste";1;38,92;0,18;4;5;"Pix"
"70292";2026-03-28 00:00:00,000;"1614";"Saúde";"Sudeste";1;573,36;0,16;2;5;"Pix"
"92913";2005-01-02 00:00:00,000;"5812";"Eletrônicos";"Sudeste";1;494,94;0,01;13;5;"Pix"
"24344";2018-10-01 00:00:00,000;"2504";"Mobília";"Sudeste";1;787,45;0,16;1;5;"Pix"
"82060";2014-08-27 00:00:00,000;"3848";"Esportes";"Sudeste";1;99,74;0,21;3;5;"Pix"
"20149";2022-10-10 00:00:00,000;"1094";"Casa";"Sudeste";1;85,08;0,19;18;5;"Pix"
"108480";2011-10-17 00:00:00,000;"2384";"Casa";"Sudeste";1;977,27;0,09;1;5;"Pix"
"24979";2011-06-12 00:00:00,000;"4167";"Esportes";"Sudeste";1;4,16;0,26;6;5;"Pix"
"97653";2016-10-27 00:00:00,000;"2328";"Livros";"Sudeste";1;242,25;0,05;8;5;"Pix"
"95203";2016-04-25 00:00:00,000;"6659";"Roupas e Acessórios";"Sudeste";1;855,23;0,28;5;5;"Pix"
"67297";2009-02-20 00:00:00,000;"3856";"Casa";"Sudeste";1;2,37;0,03;2;5;"Pix"
"19535";2007-07-29 00:00:00,000;"5122";"Casa";"Sudeste";1;12,03;0,13;1;5;"Pix"
"89896";2021-04-17 00:00:00,000;"6577";"Casa";"Sudeste";1;10,57;0,02;7;5;"Pix"
"97457";2020-09-02 00:00:00,000;"4143";"Roupas e Acessórios";"Sudeste";1;192,61;0,2;20;5;"Pix"
"68592";2005-06-30 00:00:00,000;"5493";"Esportes";"Sudeste";1;5,33;0,28;9;5;"Pix"
"37407";2014-07-30 00:00:00,000;"2639";"Beleza e Cosméticos";"Sudeste";1;226,31;0,24;11;5;"Pix"
"66935";2004-03-12 00:00:00,000;"3989";"Casa";"Sudeste";1;705,53;0,21;16;5;"Pix"
"89022";2016-03-10 00:00:00,000;"3102";"Beleza e Cosméticos";"Sudeste";1;26,8;0,05;3;5;"Pix"
"106680";2023-12-19 00:00:00,000;"6078";"Beleza e Cosméticos";"Sudeste";1;77,51;0,29;18;5;"Pix"
"23886";2005-03-06 00:00:00,000;"6726";"Roupas e Acessórios";"Sudeste";1;7,83;0,2;2;5;"Pix"
"33738";2023-11-01 00:00:00,000;"2521";"Grocery";"Sudeste";1;324,09;0,01;7;5;"Pix"
"15148";2024-05-16 00:00:00,000;"1080";"Grocery";"Sudeste";1;209,28;0,16;9;5;"Pix"
"93231";2011-04-05 00:00:00,000;"5955";"Eletrônicos";"Sudeste";1;330,21;0,07;2;5;"Pix"
"34063";2008-11-01 00:00:00,000;"2318";"Beleza e Cosméticos";"Sudeste";1;60,58;0,11;4;5;"Pix"
"61719";2008-04-01 00:00:00,000;"4934";"Automotivo";"Sudeste";1;921,77;0,15;1;5;"Pix"
"74487";2012-05-05 00:00:00,000;"2597";"Eletrônicos";"Sudeste";1;300,2;0,2;2;5;"Pix"
"23243";2008-05-08 00:00:00,000;"3546";"Grocery";"Sudeste";1;840,05;0,08;22;5;"Pix"
"22608";2013-10-11 00:00:00,000;"5668";"Beleza e Cosméticos";"Sudeste";1;120,06;0,22;12;5;"Pix"
"49026";2018-09-12 00:00:00,000;"1065";"Roupas e Acessórios";"Sudeste";1;16,8;0,23;19;5;"Pix"
"102592";2020-09-22 00:00:00,000;"2468";"Esportes";"Sudeste";1;112,67;0,27;18;5;"Pix"
"40606";2016-08-02 00:00:00,000;"2772";"Eletrônicos";"Sudeste";1;178,07;0,14;1;5;"Pix"
"21341";2021-02-17 00:00:00,000;"1142";"Esportes";"Sudeste";1;3,97;0,3;13;5;"Pix"
"57264";2022-11-08 00:00:00,000;"6429";"Roupas e Acessórios";"Sudeste";1;747,21;0,03;13;5;"Pix"
"56096";2025-09-13 00:00:00,000;"5966";"Grocery";"Sudeste";1;370,47;0,23;1;5;"Pix"
"44440";2011-03-11 00:00:00,000;"5696";"Beleza e Cosméticos";"Sudeste";1;5,65;0,28;28;5;"Pix"
"61792";2006-05-13 00:00:00,000;"4325";"Beleza e Cosméticos";"Sudeste";1;1022,29;0,04;4;5;"Pix"
"30677";2020-09-11 00:00:00,000;"3031";"Eletrônicos";"Sudeste";1;4,36;0,23;10;5;"Pix"
"23714";2022-08-28 00:00:00,000;"1089";"Roupas e Acessórios";"Sudeste";1;297,73;0,06;4;5;"Pix"
"33796";2008-10-25 00:00:00,000;"1802";"Livros";"Sudeste";1;138,27;0,24;7;5;"Pix"
"84248";2006-08-03 00:00:00,000;"5498";"Saúde";"Sudeste";1;47,95;0,27;18;5;"Pix"
"108910";2018-01-02 00:00:00,000;"5251";"Roupas e Acessórios";"Sudeste";1;32,13;0,12;2;5;"Pix"
"77110";2026-02-28 00:00:00,000;"2392";"Casa";"Sudeste";1;535,4;0,03;5;5;"Pix"
"77281";2012-02-15 00:00:00,000;"4131";"Esportes";"Sudeste";1;216,39;0,17;3;5;"Pix"
"70174";2012-05-31 00:00:00,000;"1943";"Pets";"Sudeste";1;27,96;0,19;4;5;"Pix"
"17770";2010-01-19 00:00:00,000;"5172";"Esportes";"Sudeste";1;138,15;0,12;3;5;"Pix"
"44762";2007-03-01 00:00:00,000;"4531";"Livros";"Sudeste";1;2,85;0,01;17;5;"Pix"
"44480";2014-07-14 00:00:00,000;"6506";"Pets";"Sudeste";1;3,31;0,25;17;5;"Pix"
"94641";2004-02-28 00:00:00,000;"6099";"Não informado";"Sudeste";2;58,82;0,18;16;5;"Pix"
"51810";2024-08-30 00:00:00,000;"5003";"Pets";"Sudeste";11;606,01;0,11;17;5;"Pix"
"81748";2026-01-29 00:00:00,000;"4821";"Pets";"Sudeste";10;31,66;0,29;7;5;"Pix"
