Data do Pedido;Categoria Produto;Região;Quantidade Vedida;Preço Unitário;Desconto;Quantidade de Dias Entrega;Avaliação do Cliente;Metodo de Pagamento;Valor total venda;Valor total desconto aplicado;Data do Pedido Dia;Data do Pedido Mês;Data do Pedido Ano
2007-02-27 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;10,84;0,27;18;5;"Pix";7,9132;2,9268;"27";"02";"2007"
2013-06-05 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;3,21;0,3;1;5;"Pix";2,247;0,963;"05";"06";"2013"
2006-08-19 00:00:00,000;"Saúde";"Sudeste";1;289,21;0,19;9;5;"Pix";234,26009999999997;54,9499;"19";"08";"2006"
2023-08-13 00:00:00,000;"Casa";"Sudeste";1;104,9;0,11;5;5;"Pix";93,361;11,539000000000001;"13";"08";"2023"
2024-08-01 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;4,72;0,03;6;5;"Pix";4,5783999999999994;0,14159999999999998;"01";"08";"2024"
2023-01-07 00:00:00,000;"Automotivo";"Sudeste";1;10,11;0,27;3;5;"Pix";7,3802999999999992;2,7297000000000002;"07";"01";"2023"
2004-05-21 00:00:00,000;"Esportes";"Sudeste";1;498,04;0,18;20;5;"Pix";408,3928;89,6472;"21";"05";"2004"
2021-06-18 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;462,92;0,11;8;5;"Pix";411,9988;50,9212;"18";"06";"2021"
2004-03-02 00:00:00,000;"Brinquedos";"Sudeste";1;604,14;0,02;20;5;"Pix";592,0572;12,0828;"02";"03";"2004"
2014-02-01 00:00:00,000;"Casa";"Sudeste";1;828,15;0,23;1;5;"Pix";637,67549999999994;190,4745;"01";"02";"2014"
2022-10-31 00:00:00,000;"Casa";"Sudeste";1;4,8;0,1;15;5;"Pix";4,32;0,48;"31";"10";"2022"
2024-08-02 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;230,46;0,02;1;5;"Pix";225,85080000000002;4,6092;"02";"08";"2024"
2010-04-12 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;324,65;0,18;1;5;"Pix";266,21299999999997;58,436999999999991;"12";"04";"2010"
2007-06-30 00:00:00,000;"Grocery";"Sudeste";1;27,12;0,08;9;5;"Pix";24,950400000000002;2,1696;"30";"06";"2007"
2010-04-01 00:00:00,000;"Eletrônicos";"Sudeste";1;65,06;0,22;4;5;"Pix";50,7468;14,3132;"01";"04";"2010"
2006-11-17 00:00:00,000;"Automotivo";"Sudeste";1;3,5;0,05;9;5;"Pix";3,325;0,17500000000000002;"17";"11";"2006"
2017-07-28 00:00:00,000;"Livros";"Sudeste";1;211,29;0,25;18;5;"Pix";158,4675;52,8225;"28";"07";"2017"
2005-06-03 00:00:00,000;"Automotivo";"Sudeste";1;127,05;0,12;2;5;"Pix";111,804;15,245999999999999;"03";"06";"2005"
2013-08-12 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;483,45;0,15;2;5;"Pix";410,9325;72,5175;"12";"08";"2013"
2009-04-11 00:00:00,000;"Brinquedos";"Sudeste";1;422,17;0,05;17;5;"Pix";401,0615;21,108500000000003;"11";"04";"2009"
2015-12-16 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;6,01;0,19;1;5;"Pix";4,8681;1,1419;"16";"12";"2015"
2009-10-28 00:00:00,000;"Casa";"Sudeste";1;722,6;0,29;14;5;"Pix";513,046;209,554;"28";"10";"2009"
2017-09-16 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;4,26;0,12;20;5;"Pix";3,7487999999999997;0,5112;"16";"09";"2017"
2017-05-16 00:00:00,000;"Livros";"Sudeste";1;332,51;0,21;7;5;"Pix";262,6829;69,8271;"16";"05";"2017"
2017-05-10 00:00:00,000;"Casa";"Sudeste";1;5,49;0,28;16;5;"Pix";3,9528;1,5372000000000001;"10";"05";"2017"
2020-05-02 00:00:00,000;"Eletrônicos";"Sudeste";1;186,66;0,01;4;5;"Pix";184,7934;1,8666;"02";"05";"2020"
2018-08-02 00:00:00,000;"Brinquedos";"Sudeste";1;250,03;0,12;12;5;"Pix";220,0264;30,0036;"02";"08";"2018"
2019-12-16 00:00:00,000;"Esportes";"Sudeste";1;868,03;0,1;3;5;"Pix";781,227;86,803;"16";"12";"2019"
2020-01-21 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;53,86;0,13;12;5;"Pix";46,8582;7,0018;"21";"01";"2020"
2012-06-29 00:00:00,000;"Eletrônicos";"Sudeste";1;130,79;0,12;18;5;"Pix";115,09519999999999;15,694799999999999;"29";"06";"2012"
2025-06-03 00:00:00,000;"Grocery";"Sudeste";1;12,65;0,11;7;5;"Pix";11,2585;1,3915;"03";"06";"2025"
2014-09-26 00:00:00,000;"Saúde";"Sudeste";1;649,38;0,23;18;5;"Pix";500,0226;149,3574;"26";"09";"2014"
2015-10-05 00:00:00,000;"Automotivo";"Sudeste";1;134,94;0,06;13;5;"Pix";126,8436;8,0964;"05";"10";"2015"
2018-08-31 00:00:00,000;"Brinquedos";"Sudeste";1;73,04;0,02;17;5;"Pix";71,5792;1,4608;"31";"08";"2018"
2020-01-14 00:00:00,000;"Automotivo";"Sudeste";1;5,99;0,12;6;5;"Pix";5,2712;0,7188;"14";"01";"2020"
2015-09-16 00:00:00,000;"Esportes";"Sudeste";1;3,7;0,05;15;5;"Pix";3,515;0,18500000000000003;"16";"09";"2015"
2014-08-09 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;967,85;0,02;7;5;"Pix";948,493;19,357;"09";"08";"2014"
2012-05-04 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;68,59;0,19;1;5;"Pix";55,557900000000004;13,032100000000002;"04";"05";"2012"
2010-07-22 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;2,73;0,15;5;5;"Pix";2,3205;0,4095;"22";"07";"2010"
2019-03-18 00:00:00,000;"Brinquedos";"Sudeste";1;3,93;0,29;16;5;"Pix";2,7903000000000002;1,1397;"18";"03";"2019"
2026-07-21 00:00:00,000;"Esportes";"Sudeste";1;736,18;0,12;17;5;"Pix";647,8384;88,341599999999985;"21";"07";"2026"
2026-02-10 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;358,66;0,24;19;5;"Pix";272,58160000000004;86,0784;"10";"02";"2026"
2014-03-14 00:00:00,000;"Casa";"Sudeste";1;59,36;0,05;7;5;"Pix";56,391999999999996;2,968;"14";"03";"2014"
2012-11-15 00:00:00,000;"Automotivo";"Sudeste";1;15,12;0,07;5;5;"Pix";14,061599999999999;1,0584;"15";"11";"2012"
2010-01-27 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;754,62;0,28;2;5;"Pix";543,32639999999992;211,29360000000003;"27";"01";"2010"
2018-08-02 00:00:00,000;"Grocery";"Sudeste";1;158,05;0,19;4;5;"Pix";128,0205;30,029500000000002;"02";"08";"2018"
2018-07-29 00:00:00,000;"Casa";"Sudeste";1;319,92;0,08;14;5;"Pix";294,32640000000004;25,593600000000002;"29";"07";"2018"
2018-02-08 00:00:00,000;"Casa";"Sudeste";1;13,6;0,1;15;5;"Pix";12,24;1,36;"08";"02";"2018"
2023-02-16 00:00:00,000;"Saúde";"Sudeste";1;147,33;0,11;9;5;"Pix";131,1237;16,206300000000002;"16";"02";"2023"
2023-04-15 00:00:00,000;"Casa";"Sudeste";1;2,44;0,07;6;5;"Pix";2,2692;0,1708;"15";"04";"2023"
2020-10-30 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;776,29;0,14;6;5;"Pix";667,60939999999994;108,6806;"30";"10";"2020"
2008-01-28 00:00:00,000;"Brinquedos";"Sudeste";1;2,5;0,22;8;5;"Pix";1,95;0,55;"28";"01";"2008"
2006-03-29 00:00:00,000;"Mobília";"Sudeste";1;343,84;0,02;17;5;"Pix";336,9632;6,8767999999999994;"29";"03";"2006"
2006-05-17 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;558,11;0,05;9;5;"Pix";530,2045;27,905500000000004;"17";"05";"2006"
2007-01-08 00:00:00,000;"Eletrônicos";"Sudeste";1;164,55;0,1;7;5;"Pix";148,095;16,455000000000002;"08";"01";"2007"
2012-01-07 00:00:00,000;"Mobília";"Sudeste";1;31,98;0,26;5;5;"Pix";23,6652;8,3148;"07";"01";"2012"
2007-08-06 00:00:00,000;"Casa";"Sudeste";1;15,21;0,13;6;5;"Pix";13,232700000000001;1,9773000000000003;"06";"08";"2007"
2012-01-08 00:00:00,000;"Automotivo";"Sudeste";1;3,36;0,15;9;5;"Pix";2,856;0,504;"08";"01";"2012"
2024-09-30 00:00:00,000;"Livros";"Sudeste";1;12,6;0,02;19;5;"Pix";12,347999999999999;0,252;"30";"09";"2024"
2026-04-07 00:00:00,000;"Eletrônicos";"Sudeste";1;4,58;0,12;2;5;"Pix";4,0304;0,5496;"07";"04";"2026"
2016-04-27 00:00:00,000;"Eletrônicos";"Sudeste";1;306,07;0,05;18;5;"Pix";290,7665;15,3035;"27";"04";"2016"
2020-06-23 00:00:00,000;"Casa";"Sudeste";1;6,54;0,22;13;5;"Pix";5,1012;1,4388;"23";"06";"2020"
2007-08-15 00:00:00,000;"Eletrônicos";"Sudeste";1;166,39;0,18;11;5;"Pix";136,4398;29,950199999999995;"15";"08";"2007"
2017-03-30 00:00:00,000;"Livros";"Sudeste";1;45,66;0,14;1;5;"Pix";39,267599999999995;6,3924;"30";"03";"2017"
2011-01-15 00:00:00,000;"Pets";"Sudeste";1;390,64;0,28;17;5;"Pix";281,26079999999996;109,37920000000001;"15";"01";"2011"
2006-03-07 00:00:00,000;"Saúde";"Sudeste";1;11,32;0,03;19;5;"Pix";10,9804;0,3396;"07";"03";"2006"
2012-03-19 00:00:00,000;"Grocery";"Sudeste";1;25,71;0,04;1;5;"Pix";24,6816;1,0284;"19";"03";"2012"
2023-07-12 00:00:00,000;"Grocery";"Sudeste";1;5,9;0,15;17;5;"Pix";5,0150000000000006;0,885;"12";"07";"2023"
2025-03-08 00:00:00,000;"Eletrônicos";"Sudeste";1;19,87;0,04;13;5;"Pix";19,075200000000002;0,79480000000000006;"08";"03";"2025"
2015-10-19 00:00:00,000;"Eletrônicos";"Sudeste";1;1036,34;0,3;11;5;"Pix";725,43799999999987;310,902;"19";"10";"2015"
2020-01-18 00:00:00,000;"Eletrônicos";"Sudeste";1;30,81;0,18;7;5;"Pix";25,2642;5,5458;"18";"01";"2020"
2007-01-07 00:00:00,000;"Eletrônicos";"Sudeste";1;33,84;0,26;20;5;"Pix";25,041600000000003;8,7984;"07";"01";"2007"
2016-11-14 00:00:00,000;"Eletrônicos";"Sudeste";1;6,45;0,14;4;5;"Pix";5,547;0,90300000000000014;"14";"11";"2016"
2004-09-28 00:00:00,000;"Eletrônicos";"Sudeste";1;21,17;0,03;19;5;"Pix";20,5349;0,6351;"28";"09";"2004"
2024-08-18 00:00:00,000;"Esportes";"Sudeste";1;900,49;0,13;4;5;"Pix";783,4263;117,06370000000001;"18";"08";"2024"
2013-08-09 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;78,95;0,28;1;5;"Pix";56,844;22,106;"09";"08";"2013"
2020-08-09 00:00:00,000;"Esportes";"Sudeste";1;2,47;0,17;8;5;"Pix";2,0501;0,41990000000000005;"09";"08";"2020"
2007-07-17 00:00:00,000;"Saúde";"Sudeste";1;549,07;0,07;16;5;"Pix";510,6351;38,434900000000006;"17";"07";"2007"
2014-07-15 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;3,44;0,02;3;5;"Pix";3,3712;0,0688;"15";"07";"2014"
2023-06-06 00:00:00,000;"Automotivo";"Sudeste";1;600,91;0,24;11;5;"Pix";456,6916;144,21839999999997;"06";"06";"2023"
2008-06-30 00:00:00,000;"Livros";"Sudeste";1;95,82;0,04;14;5;"Pix";91,987199999999987;3,8327999999999998;"30";"06";"2008"
2024-07-21 00:00:00,000;"Grocery";"Sudeste";1;6,18;0,13;18;5;"Pix";5,3766;0,8034;"21";"07";"2024"
2024-08-23 00:00:00,000;"Grocery";"Sudeste";1;267,62;0,15;3;5;"Pix";227,477;40,143;"23";"08";"2024"
2019-09-09 00:00:00,000;"Saúde";"Sudeste";1;3,84;0,01;1;5;"Pix";3,8015999999999996;0,0384;"09";"09";"2019"
2017-04-12 00:00:00,000;"Pets";"Sudeste";1;76,33;0,03;14;5;"Pix";74,0401;2,2899;"12";"04";"2017"
2017-01-31 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;139,17;0,02;6;5;"Pix";136,3866;2,7834;"31";"01";"2017"
2018-11-03 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;4,72;0,23;7;5;"Pix";3,6344;1,0856;"03";"11";"2018"
2020-02-03 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;13,56;0,24;13;5;"Pix";10,3056;3,2544;"03";"02";"2020"
2005-06-20 00:00:00,000;"Brinquedos";"Sudeste";1;7,1;0,15;12;5;"Pix";6,035;1,065;"20";"06";"2005"
2011-03-27 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;3,04;0,04;19;5;"Pix";2,9184;0,1216;"27";"03";"2011"
2013-11-15 00:00:00,000;"Eletrônicos";"Sudeste";1;2,3;0,16;1;5;"Pix";1,932;0,368;"15";"11";"2013"
2005-02-16 00:00:00,000;"Mobília";"Sudeste";1;182,19;0,13;15;5;"Pix";158,5053;23,6847;"16";"02";"2005"
2016-12-11 00:00:00,000;"Eletrônicos";"Sudeste";1;75,08;0,11;2;5;"Pix";66,8212;8,258799999999999;"11";"12";"2016"
2008-10-15 00:00:00,000;"Esportes";"Sudeste";1;580,3;0,1;1;5;"Pix";522,27;58,03;"15";"10";"2008"
2005-02-23 00:00:00,000;"Pets";"Sudeste";1;349,09;0,16;19;5;"Pix";293,2356;55,8544;"23";"02";"2005"
2024-02-21 00:00:00,000;"Eletrônicos";"Sudeste";1;5,24;0,23;5;5;"Pix";4,0348000000000006;1,2052;"21";"02";"2024"
2014-05-16 00:00:00,000;"Eletrônicos";"Sudeste";1;271,22;0,3;9;5;"Pix";189,85400000000004;81,366;"16";"05";"2014"
2010-07-31 00:00:00,000;"Grocery";"Sudeste";1;167,59;0,23;6;5;"Pix";129,0443;38,545700000000004;"31";"07";"2010"
2007-11-29 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;74,66;0,18;1;5;"Pix";61,221199999999996;13,438799999999999;"29";"11";"2007"
2022-07-24 00:00:00,000;"Saúde";"Sudeste";1;37,79;0,27;1;5;"Pix";27,5867;10,2033;"24";"07";"2022"
2014-02-24 00:00:00,000;"Esportes";"Sudeste";1;2;0,09;1;5;"Pix";1,82;0,18;"24";"02";"2014"
2017-01-16 00:00:00,000;"Saúde";"Sudeste";1;8,43;0,12;20;5;"Pix";7,4184;1,0115999999999998;"16";"01";"2017"
2016-06-11 00:00:00,000;"Automotivo";"Sudeste";1;6,82;0,21;1;5;"Pix";5,3878;1,4322;"11";"06";"2016"
2009-06-29 00:00:00,000;"Brinquedos";"Sudeste";1;4,69;0,1;14;5;"Pix";4,221;0,46900000000000008;"29";"06";"2009"
2021-09-15 00:00:00,000;"Livros";"Sudeste";1;207,54;0,06;3;5;"Pix";195,08759999999998;12,452399999999999;"15";"09";"2021"
2017-02-04 00:00:00,000;"Saúde";"Sudeste";1;14,48;0,08;2;5;"Pix";13,3216;1,1584;"04";"02";"2017"
2025-10-24 00:00:00,000;"Eletrônicos";"Sudeste";1;2,76;0,19;7;5;"Pix";2,2356;0,5244;"24";"10";"2025"
2009-04-18 00:00:00,000;"Brinquedos";"Sudeste";1;365,92;0,16;16;5;"Pix";307,3728;58,547200000000004;"18";"04";"2009"
2015-07-11 00:00:00,000;"Saúde";"Sudeste";1;474,95;0,07;14;5;"Pix";441,70349999999996;33,246500000000005;"11";"07";"2015"
2011-10-18 00:00:00,000;"Grocery";"Sudeste";1;17,25;0,05;20;5;"Pix";16,3875;0,8625;"18";"10";"2011"
2019-12-10 00:00:00,000;"Mobília";"Sudeste";1;455,69;0,08;6;5;"Pix";419,2348;36,4552;"10";"12";"2019"
2019-09-27 00:00:00,000;"Casa";"Sudeste";1;34,24;0,03;2;5;"Pix";33,2128;1,0272000000000001;"27";"09";"2019"
2018-12-10 00:00:00,000;"Brinquedos";"Sudeste";1;68,07;0,18;7;5;"Pix";55,817399999999992;12,252599999999997;"10";"12";"2018"
2020-04-20 00:00:00,000;"Esportes";"Sudeste";1;562,98;0,2;16;5;"Pix";450,384;112,596;"20";"04";"2020"
2015-05-14 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;10,41;0,03;18;5;"Pix";10,0977;0,31229999999999997;"14";"05";"2015"
2013-02-12 00:00:00,000;"Esportes";"Sudeste";1;51,53;0,22;3;5;"Pix";40,1934;11,3366;"12";"02";"2013"
2007-09-28 00:00:00,000;"Brinquedos";"Sudeste";1;3,35;0,11;11;5;"Pix";2,9815;0,3685;"28";"09";"2007"
2023-04-25 00:00:00,000;"Livros";"Sudeste";1;21,39;0,03;19;5;"Pix";20,7483;0,6417;"25";"04";"2023"
2011-03-31 00:00:00,000;"Casa";"Sudeste";1;186,2;0,27;5;5;"Pix";135,926;50,274;"31";"03";"2011"
2006-07-10 00:00:00,000;"Automotivo";"Sudeste";1;483,56;0,29;4;5;"Pix";343,3276;140,23239999999998;"10";"07";"2006"
2011-06-24 00:00:00,000;"Pets";"Sudeste";1;124,87;0,15;3;5;"Pix";106,1395;18,7305;"24";"06";"2011"
2019-11-12 00:00:00,000;"Eletrônicos";"Sudeste";1;8,03;0,3;9;5;"Pix";5,6209999999999996;2,409;"12";"11";"2019"
2022-10-26 00:00:00,000;"Pets";"Sudeste";1;752,76;0,13;5;5;"Pix";654,9012;97,8588;"26";"10";"2022"
2017-10-16 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;2,76;0,01;12;5;"Pix";2,7323999999999997;0,0276;"16";"10";"2017"
2010-04-11 00:00:00,000;"Saúde";"Sudeste";1;34,96;0,13;12;5;"Pix";30,4152;4,5448;"11";"04";"2010"
2013-07-28 00:00:00,000;"Mobília";"Sudeste";1;189,13;0,03;3;5;"Pix";183,4561;5,6739;"28";"07";"2013"
2015-02-25 00:00:00,000;"Pets";"Sudeste";1;5,18;0,02;8;5;"Pix";5,0764;0,1036;"25";"02";"2015"
2015-04-05 00:00:00,000;"Livros";"Sudeste";1;999,45;0,24;18;5;"Pix";759,58200000000011;239,868;"05";"04";"2015"
2014-07-24 00:00:00,000;"Esportes";"Sudeste";1;997,41;0,09;11;5;"Pix";907,6431;89,766899999999993;"24";"07";"2014"
2011-09-28 00:00:00,000;"Grocery";"Sudeste";1;74,51;0,17;1;5;"Pix";61,8433;12,666700000000002;"28";"09";"2011"
2023-08-21 00:00:00,000;"Brinquedos";"Sudeste";1;332,5;0,01;10;5;"Pix";329,175;3,325;"21";"08";"2023"
2006-04-25 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;11,82;0,24;10;5;"Pix";8,9832;2,8367999999999998;"25";"04";"2006"
2007-09-09 00:00:00,000;"Saúde";"Sudeste";1;228,01;0,18;3;5;"Pix";186,9682;41,041799999999995;"09";"09";"2007"
2026-03-18 00:00:00,000;"Eletrônicos";"Sudeste";1;282,52;0,31;3;5;"Pix";194,9388;87,5812;"18";"03";"2026"
2018-06-01 00:00:00,000;"Automotivo";"Sudeste";1;15,82;0,27;18;5;"Pix";11,5486;4,2714000000000008;"01";"06";"2018"
2020-08-06 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;45,97;0,12;20;5;"Pix";40,4536;5,5164;"06";"08";"2020"
2005-08-19 00:00:00,000;"Grocery";"Sudeste";1;46,64;0,27;3;5;"Pix";34,047200000000004;12,5928;"19";"08";"2005"
2006-05-22 00:00:00,000;"Pets";"Sudeste";1;30,16;0,19;6;5;"Pix";24,4296;5,7304;"22";"05";"2006"
2010-01-26 00:00:00,000;"Mobília";"Sudeste";1;25,46;0,03;3;5;"Pix";24,6962;0,7638;"26";"01";"2010"
2006-04-28 00:00:00,000;"Brinquedos";"Sudeste";1;4,13;0,27;25;5;"Pix";3,0149;1,1151;"28";"04";"2006"
2013-07-12 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;115,98;0,08;9;5;"Pix";106,7016;9,2784000000000013;"12";"07";"2013"
2005-07-07 00:00:00,000;"Brinquedos";"Sudeste";1;601,21;0,18;13;5;"Pix";492,9922;108,2178;"07";"07";"2005"
2012-11-25 00:00:00,000;"Saúde";"Sudeste";1;650,16;0,14;3;5;"Pix";559,1376;91,0224;"25";"11";"2012"
2015-09-05 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;3,58;0,18;14;5;"Pix";2,9356;0,6444;"05";"09";"2015"
2023-05-22 00:00:00,000;"Livros";"Sudeste";1;174,41;0,26;15;5;"Pix";129,0634;45,3466;"22";"05";"2023"
2017-11-02 00:00:00,000;"Casa";"Sudeste";1;5,64;0,13;17;5;"Pix";4,9068;0,7332;"02";"11";"2017"
2017-04-03 00:00:00,000;"Saúde";"Sudeste";1;190,27;0,02;18;5;"Pix";186,46460000000002;3,8054;"03";"04";"2017"
2023-10-06 00:00:00,000;"Casa";"Sudeste";1;134,68;0,15;15;5;"Pix";114,47800000000001;20,202;"06";"10";"2023"
2020-12-23 00:00:00,000;"Casa";"Sudeste";1;83,67;0,03;4;5;"Pix";81,159900000000007;2,5101;"23";"12";"2020"
2014-04-21 00:00:00,000;"Eletrônicos";"Sudeste";1;105,59;0,27;6;5;"Pix";77,080700000000007;28,509300000000003;"21";"04";"2014"
2011-01-22 00:00:00,000;"Eletrônicos";"Sudeste";1;10,66;0,17;4;5;"Pix";8,8478;1,8122000000000003;"22";"01";"2011"
2021-08-15 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;16,74;0,21;17;5;"Pix";13,224599999999999;3,5153999999999996;"15";"08";"2021"
2023-10-21 00:00:00,000;"Esportes";"Sudeste";1;7,12;0,19;2;5;"Pix";5,7672;1,3528;"21";"10";"2023"
2020-09-13 00:00:00,000;"Esportes";"Sudeste";1;38,92;0,18;4;5;"Pix";31,9144;7,0056;"13";"09";"2020"
2026-03-28 00:00:00,000;"Saúde";"Sudeste";1;573,36;0,16;2;5;"Pix";481,6224;91,7376;"28";"03";"2026"
2005-01-02 00:00:00,000;"Eletrônicos";"Sudeste";1;494,94;0,01;13;5;"Pix";489,9906;4,9494;"02";"01";"2005"
