ID do PEDIDO;DATA DO PEDIDO;fk_tbclientes_id_cliente;CaTeGoRiA Produto;nm_regiao;qtd.;Preço Unitário (R$);dixconto;método-pagamento;dias_para_entrega;nr_estrelas_cliente
84986;12/03/2020;5693;Casa;Sudeste;27;5.93;0.21;boleto;14;3.1
88827;11/24/2004;1369;Casa;Sul;18;43.03;0.28;boleto;8;3.2
79364;3/30/2021;6172;Roupas e Acessórios;Sul;16;2.65;0.3;pix;18;4.0
97679;5/16/2019;3873;Eletrônicos;Nordeste;3;329.86;0.22;pix;9;3.6
95039;12/09/2015;1356;Livros;Sul;2;127.48;0.16;boleto;20;2.5
22075;6/20/2004;4243;Grocery;Norte;20;229.69;0.11;pix;25;4.1
96548;9/27/2005;6701;Eletrônicos;Sul;17;183.16;0.12;pix;21;3.4
38675;3/17/2010;2762;Brinquedos;Centro-Oeste;3;6.16;0.01;boleto;19;4.2
37987;7/24/2019;3420;Roupas e Acessórios;Norte;10;7.49;0.14;pix;22;3.4
95351;10/12/2006;3814;Roupas e Acessórios;Nordeste;22;1051.75;0.28;crédito;7;4.3
41590;10/24/2017;2954;Pets;Sul;13;16.94;0.02;débito;24;3.8
108877;4/22/2025;4318;Grocery;Nordeste;24;19.5;0.08;pix;3;5.0
38075;6/18/2011;4365;Roupas e Acessórios;Sudeste;8;27.61;0.04;crédito;23;3.3
105627;09/03/2006;4695;Eletrônicos;Sudeste;1;354.02;0.06;débito;1;5.0
17844;9/29/2021;1973;Casa;Sul;9;349.67;0.16;débito;15;5.0
14944;7/19/2023;1200;Eletrônicos;Norte;1;566.41;0.16;pix;6;3.6
67111;01/12/2022;6321;Roupas e Acessórios;Nordeste;11;821.1;0.01;boleto;1;4.4
20463;10/30/2006;2824;Beleza e Cosméticos;Nordeste;28;3.72;0.12;pix;9;2.9
39010;08/01/2025;4278;Grocery;Sudeste;8;236.87;0.08;pix;6;4.0
15761;1/26/2020;2907;Casa;Sul;1;50.15;0.13;pix;12;3.7
83389;02/07/2006;2556;;Sul;11;153.13;0.24;boleto;15;2.9
61152;10/02/2021;6925;Esportes;Sudeste;2;2.74;0.18;pix;7;4.7
90825;8/27/2017;2092;Casa;Sul;13;9.87;0.21;crédito;7;4.7
43401;10/16/2012;2864;Esportes;Nordeste;1;60.47;0.12;boleto;27;2.9
88103;12/17/2022;1337;Automotivo;Sudeste;26;7.63;0.15;boleto;25;3.8
18205;6/28/2025;5385;Pets;Sul;1;6.63;0.28;pix;3;4.8
41382;09/11/2018;5874;Grocery;Centro-Oeste;5;105.47;0.27;pix;14;5.0
55237;12/03/2006;3402;Livros;Sudeste;17;15.45;0.27;boleto;2;3.7
65582;6/16/2021;3068;Saúde;Norte;5;65.17;0.03;boleto;1;4.6
51288;07/10/2010;5636;Roupas e Acessórios;Sul;1;1025.04;0.12;pix;7;4.1
60538;7/22/2010;5893;Roupas e Acessórios;Sudeste;2;37.96;0.14;pix;20;4.2
24304;12/12/2014;6418;Beleza e Cosméticos;Centro-Oeste;10;186.24;0.03;boleto;17;2.4
73974;04/10/2013;1465;Beleza e Cosméticos;Centro-Oeste;16;11.16;0.2;boleto;12;2.0
58764;05/12/2016;1821;Casa;Sudeste;25;89.46;0.02;crédito;26;4.1
38541;4/27/2019;2535;Eletrônicos;Sudeste;27;118.24;0.21;pix;10;5.0
85502;1/30/2005;6276;Automotivo;Nordeste;13;11.67;0.27;pix;27;3.3
51586;09/06/2005;2585;;Nordeste;2;127.41;0.02;boleto;14;5.0
27323;09/05/2025;5733;Roupas e Acessórios;Nordeste;1;3.3;0.13;pix;27;3.1
103354;10/24/2004;6713;Esportes;Nordeste;3;396.45;0.3;crédito;2;4.0
28233;11/02/2024;5891;Grocery;Sudeste;26;38.08;0.09;pix;17;5.0
103474;5/27/2011;1655;Beleza e Cosméticos;Sul;11;7.73;0.12;boleto;3;3.1
88486;5/18/2015;4817;Beleza e Cosméticos;Nordeste;3;192.67;0.1;boleto;14;2.8
47043;06/09/2004;3438;;Nordeste;3;105.54;0.14;boleto;6;4.2
86003;04/04/2013;4273;Casa;Sul;3;85.46;0.21;crédito;22;2.1
65355;4/27/2012;4480;Eletrônicos;Sudeste;1;5.77;0.17;pix;17;4.5
64935;5/24/2009;1234;;Sul;7;115.46;0.27;crédito;7;4.2
81757;3/31/2021;2104;Esportes;Centro-Oeste;26;43.53;0.27;pix;15;3.7
55247;06/04/2026;5824;Casa;Nordeste;3;6.97;0.29;boleto;25;4.1
54994;3/13/2015;1128;Esportes;Nordeste;4;211.12;0.1;boleto;10;3.5
49729;6/16/2024;2740;Saúde;Centro-Oeste;1;845.78;0.22;boleto;13;3.1
84562;8/27/2019;4044;Saúde;Sudeste;3;475.77;0.22;boleto;13;5.0
25784;12/07/2017;1666;Grocery;Centro-Oeste;7;98.57;0.05;pix;19;4.6
70403;01/10/2023;2531;Casa;Nordeste;2;9.5;0.01;pix;5;5.0
12975;6/21/2004;1155;;Sul;3;307.65;0.24;pix;5;3.0
74544;06/09/2013;4586;Roupas e Acessórios;Sudeste;11;13.39;0.18;débito;6;4.1
93560;5/31/2008;3129;Esportes;Sul;4;4.18;0.08;pix;3;2.4
80080;11/16/2019;1828;Eletrônicos;Sul;3;4.01;0.21;pix;27;3.7
35279;11/15/2006;3090;Automotivo;Nordeste;29;11.94;0.26;pix;6;3.4
25363;4/27/2022;2884;Esportes;Sul;2;11.29;0.12;pix;5;3.9
76944;12/09/2005;1076;Eletrônicos;Nordeste;29;16.9;0.18;crédito;23;2.6
94751;10/20/2008;1478;Automotivo;Sul;6;622.82;0.3;pix;8;5.0
67202;07/06/2011;6330;Brinquedos;Sudeste;3;591.25;0.11;pix;26;2.5
110640;7/31/2020;2043;Livros;Sudeste;5;2.78;0.05;débito;20;5.0
54794;9/14/2015;1857;Esportes;Nordeste;22;7.17;0.26;pix;3;4.7
53799;4/20/2017;1431;Esportes;Centro-Oeste;20;416.28;0.16;pix;20;3.8
20622;2/19/2009;1245;;Sul;1;42.3;0.15;pix;8;4.8
29467;10/04/2025;1505;Eletrônicos;Sudeste;14;6.57;0.2;pix;1;4.4
64054;11/19/2017;6984;Livros;Sul;9;9.34;0.01;boleto;23;2.5
84373;01/12/2014;3893;Livros;Norte;6;32.88;0.14;pix;4;4.5
35916;04/12/2009;1002;;Nordeste;23;81.14;0.24;pix;2;3.7
35895;7/22/2019;5433;Brinquedos;Nordeste;10;95.89;0.09;boleto;9;3.0
37220;7/16/2007;4960;;Sul;1;177.57;0.12;pix;4;4.6
90801;2/17/2013;6064;Grocery;Sudeste;5;9.62;0.06;pix;20;4.6
13385;1/23/2022;1767;Roupas e Acessórios;Sul;5;384.14;0.29;pix;9;1.1
63828;9/24/2017;1294;Eletrônicos;Sudeste;2;3.11;0.27;pix;14;1.6
80775;11/06/2015;5757;Beleza e Cosméticos;Norte;8;36.04;0.24;crédito;13;3.5
110432;11/18/2024;2489;Eletrônicos;Nordeste;8;663.82;0.12;débito;19;4.3
22235;11/08/2018;6433;Automotivo;Centro-Oeste;17;115.03;0.21;débito;28;2.4
47626;3/18/2008;5275;;Sudeste;25;406.81;0.04;boleto;20;5.0
102475;11/01/2016;6077;Grocery;Sudeste;1;22.45;0.01;pix;25;3.5
81180;1/21/2013;6822;Eletrônicos;Sudeste;23;68.83;0.02;pix;7;3.6
39458;04/12/2006;3727;;Sudeste;16;100.47;0.28;boleto;4;5.0
27025;08/03/2015;1695;Casa;Nordeste;8;510.34;0.27;crédito;3;5.0
18031;7/18/2013;1563;Casa;Sudeste;1;2.92;0.15;débito;3;3.6
14697;10/11/2005;1925;;Norte;1;230.81;0.0;débito;2;3.2
40607;2/19/2004;4000;;Sul;10;120.15;0.13;boleto;2;2.5
92269;8/21/2024;5211;Roupas e Acessórios;Sul;1;3.65;0.07;pix;23;4.1
72803;6/15/2017;6553;Grocery;Norte;1;2.87;0.17;pix;15;3.0
21992;02/12/2020;1672;Pets;Sudeste;9;833.16;0.17;pix;24;3.9
67994;1/23/2022;1057;Mobília;Nordeste;22;6.66;0.01;pix;26;3.0
29170;09/04/2008;4617;;Sudeste;2;123.19;0.3;pix;24;3.1
59929;05/08/2005;6883;;Sudeste;5;32.49;0.18;crédito;14;1.5
23264;7/22/2018;2016;Casa;Sudeste;24;552.9;0.28;crédito;22;3.6
82745;10/10/2018;2315;Casa;Nordeste;3;26.5;0.23;boleto;17;4.8
45245;8/13/2011;3440;Saúde;Centro-Oeste;3;2.02;0.17;boleto;19;4.3
10647;6/15/2014;1284;Eletrônicos;Sudeste;4;340.33;0.13;pix;11;4.8
94641;2/28/2004;6099;;Sudeste;2;58.82;0.18;pix;16;5.0
15332;6/28/2012;1487;Beleza e Cosméticos;Sul;8;4.6;0.21;boleto;12;1.6
37010;06/11/2006;4907;;Sudeste;19;6.69;0.23;pix;26;3.9
26959;11/29/2018;3654;Livros;Centro-Oeste;1;90.89;0.21;pix;2;1.6
16477;03/07/2019;4030;Saúde;Sul;2;5.26;0.18;pix;28;4.6
66910;9/25/2004;3161;;Sudeste;9;46.17;0.08;pix;11;4.6
35818;03/03/2014;6221;Automotivo;Sudeste;3;368.83;0.09;pix;7;3.9
92972;1/30/2024;1341;Beleza e Cosméticos;Sudeste;7;11.07;0.12;crédito;7;3.0
78083;11/27/2013;1322;Automotivo;Sul;6;46.2;0.3;pix;15;3.2
98447;11/16/2015;1869;Casa;Nordeste;2;466.26;0.29;crédito;3;2.7
44581;8/16/2016;6628;Mobília;Centro-Oeste;16;603.15;0.19;pix;7;4.0
84781;03/01/2016;3497;Mobília;Sudeste;8;531.51;0.15;crédito;16;4.5
99326;05/12/2024;2825;Roupas e Acessórios;Sul;1;332.29;0.23;débito;6;3.2
70817;9/26/2007;5527;;Sul;26;8.56;0.3;débito;3;3.2
47785;10/28/2017;5363;Mobília;Norte;1;561.16;0.29;pix;3;4.5
63485;10/09/2018;6365;Automotivo;Sul;18;53.79;0.28;pix;22;4.3
31644;10/23/2024;1516;Grocery;Sudeste;28;76.25;0.21;crédito;26;3.5
39863;5/27/2006;1919;;Sudeste;7;301.82;0.23;crédito;21;3.8
100715;9/16/2023;5662;Eletrônicos;Sul;8;4.41;0.13;pix;13;4.3
24636;11/11/2006;1310;;Nordeste;11;18.17;0.18;crédito;8;4.2
97010;08/07/2019;2994;Beleza e Cosméticos;Nordeste;29;11.42;0.07;boleto;3;3.9
11851;12/04/2005;1167;;Norte;1;589.2;0.04;débito;11;1.1
31268;09/08/2018;4799;Grocery;Norte;2;30.84;0.08;boleto;25;3.3
70611;04/04/2021;6830;Roupas e Acessórios;Sul;18;78.26;0.28;boleto;1;4.5
80536;9/16/2007;1350;;Norte;3;34.64;0.17;boleto;4;2.0
110043;06/05/2024;5794;Brinquedos;Sul;12;42.48;0.03;pix;17;3.7
26839;4/17/2013;3235;Beleza e Cosméticos;Norte;9;893.48;0.02;pix;9;3.5
21771;10/27/2013;6160;Esportes;Norte;3;14.1;0.06;boleto;15;4.2
48973;05/04/2005;2671;;Centro-Oeste;1;416.46;0.02;débito;17;4.4
97173;02/04/2015;5308;Brinquedos;Sudeste;28;435.92;0.07;pix;1;2.9
85737;7/24/2022;1652;Pets;Sudeste;23;15.95;0.17;crédito;23;1.1
87032;06/02/2023;4875;Livros;Nordeste;2;840.88;0.06;boleto;20;3.2
21770;10/19/2005;5867;Roupas e Acessórios;Sudeste;13;646.26;0.07;pix;14;5.0
68229;12/24/2011;1109;Esportes;Sudeste;6;2.99;0.24;pix;18;5.0
29565;2/17/2015;5197;Mobília;Sul;1;4.54;0.08;débito;2;3.9
77815;11/18/2017;1939;Eletrônicos;Sul;7;601.03;0.19;pix;12;3.8
20861;1/24/2021;3385;Roupas e Acessórios;Sul;6;2.16;0.11;boleto;2;5.0
32825;11/18/2018;1516;Grocery;Sudeste;15;29.86;0.04;boleto;15;4.1
84420;10/04/2004;3226;;Sudeste;1;65.94;0.22;pix;9;3.2
104840;3/26/2011;6855;Eletrônicos;Sudeste;1;2.9;0.22;pix;1;4.0
26399;9/19/2022;2743;Casa;Sul;1;4.38;0.09;boleto;27;3.0
59659;9/25/2025;4272;Pets;Nordeste;2;3.25;0.14;boleto;2;4.9
29683;7/13/2007;4429;;Centro-Oeste;18;78.6;0.27;pix;11;3.3
46565;10/11/2010;2962;Esportes;Sudeste;22;48.14;0.12;débito;14;3.6
18976;04/06/2021;6082;Saúde;Nordeste;2;15.36;0.19;pix;17;4.2
55026;12/10/2017;6746;Eletrônicos;Sul;13;180.2;0.12;débito;13;3.7
47811;9/21/2017;6559;Esportes;Nordeste;2;2.92;0.05;pix;6;4.2
62016;05/05/2023;2377;Grocery;Norte;23;15.54;0.26;pix;14;5.0
57982;4/30/2012;1295;Roupas e Acessórios;Sudeste;12;2.45;0.18;pix;1;3.9
59899;06/10/2021;6724;Brinquedos;Sul;13;23.32;0.23;pix;26;4.4
79976;6/18/2016;4912;Beleza e Cosméticos;Sudeste;12;112.55;0.14;pix;16;4.0
100262;4/29/2019;5877;Beleza e Cosméticos;Norte;28;3.13;0.13;pix;11;3.6
93764;9/17/2015;3120;Pets;Nordeste;28;12.33;0.21;pix;3;4.2
30495;12/19/2006;6643;;Sul;12;2.22;0.19;pix;1;4.1
33300;10/14/2014;3044;Brinquedos;Norte;1;2.26;0.27;débito;2;2.5
112066;3/20/2011;5636;Roupas e Acessórios;Sul;4;799.79;0.29;boleto;22;4.2
22688;2/18/2016;1655;Beleza e Cosméticos;Sudeste;12;4.47;0.16;débito;5;5.0
88428;2/27/2012;2826;Roupas e Acessórios;Sul;18;80.48;0.08;débito;21;2.2
114907;03/05/2012;1807;Grocery;Nordeste;1;3.46;0.29;débito;14;3.9
56166;1/21/2021;2937;Grocery;Centro-Oeste;5;203.17;0.02;pix;22;2.9
100879;7/23/2015;6784;Saúde;Sudeste;14;605.82;0.04;boleto;16;2.5
51737;09/03/2008;1727;;Sul;25;71.2;0.28;boleto;1;5.0
25009;3/19/2021;6908;Roupas e Acessórios;Sul;2;3.12;0.24;pix;15;4.8
32727;8/17/2013;2344;Roupas e Acessórios;Sul;7;104.38;0.14;crédito;16;5.0
24679;09/02/2010;1990;Eletrônicos;Sudeste;1;183.58;0.06;pix;23;2.7
38875;5/14/2025;2815;Saúde;Sudeste;2;7.41;0.24;pix;24;4.0
71166;06/05/2013;5758;Brinquedos;Nordeste;1;893.97;0.08;pix;4;3.6
85181;2/24/2020;1697;Livros;Centro-Oeste;4;77.37;0.13;débito;2;3.3
32382;06/10/2007;3162;;Sudeste;20;2.55;0.18;boleto;5;5.0
101139;04/02/2013;6806;Grocery;Sudeste;11;458.76;0.22;pix;19;4.9
64274;02/07/2025;3304;Pets;Nordeste;7;7.21;0.03;pix;12;5.0
50030;08/01/2005;5894;;Nordeste;24;2.6;0.14;débito;3;5.0
27046;2/28/2005;5496;;Centro-Oeste;26;2.22;0.06;boleto;10;3.2
86406;12/27/2014;2615;Casa;Nordeste;22;227.8;0.11;crédito;7;4.0
49210;6/23/2018;5990;Eletrônicos;Norte;6;206.25;0.1;débito;28;4.7
100784;03/06/2023;2974;Grocery;Centro-Oeste;11;525.0;0.14;crédito;3;5.0
47193;10/07/2020;6070;Esportes;Sul;3;34.24;0.12;crédito;20;4.4
100454;2/20/2006;3289;;Sul;27;385.34;0.08;crédito;8;4.7
80420;3/19/2013;6520;Pets;Sul;1;747.18;0.29;pix;11;3.6
93785;02/03/2012;1590;Pets;Centro-Oeste;21;678.16;0.02;pix;1;4.0
19365;04/03/2021;6820;Mobília;Sudeste;15;104.23;0.05;crédito;10;4.8
67272;08/10/2008;4173;;Norte;22;19.27;0.04;pix;20;4.8
107342;05/12/2022;4770;Eletrônicos;Sudeste;19;38.34;0.05;pix;1;3.8
100682;3/23/2017;6745;Saúde;Centro-Oeste;14;25.6;0.22;boleto;8;4.0
69596;07/01/2021;3809;Beleza e Cosméticos;Sul;29;2.07;0.23;pix;3;3.2
84693;07/04/2025;6120;Beleza e Cosméticos;Sudeste;16;21.41;0.11;pix;20;4.5
52399;10/24/2005;4318;Esportes;Norte;5;739.92;0.2;pix;27;4.5
101520;10/16/2020;1134;Automotivo;Sudeste;23;26.26;0.15;débito;24;3.3
67026;06/04/2018;1729;Grocery;Sul;25;46.39;0.08;débito;11;4.3
72986;4/14/2005;5215;;Nordeste;4;113.24;0.2;pix;3;4.3
30713;02/06/2007;6597;;Sudeste;20;46.82;0.25;crédito;15;4.6
68363;3/25/2005;3068;;Nordeste;3;114.65;0.16;crédito;7;1.6
42940;09/08/2024;1140;Saúde;Centro-Oeste;3;17.75;0.26;pix;25;3.7
110287;05/10/2012;5375;Eletrônicos;Nordeste;11;81.39;0.16;crédito;1;3.7
67807;5/23/2016;3022;Beleza e Cosméticos;Nordeste;22;86.04;0.24;pix;16;5.0
38688;9/28/2022;1508;Roupas e Acessórios;Sul;1;29.55;0.1;pix;2;4.9
74713;2/24/2020;3065;Livros;Norte;4;119.77;0.11;crédito;14;3.3
14859;12/26/2009;1690;;Nordeste;3;434.64;0.32;pix;4;4.7
10937;8/22/2007;1142;;Nordeste;6;71.31;0.16;pix;4;4.3
16305;11/10/2024;1605;Pets;Sul;4;919.01;0.05;pix;27;2.5
43132;09/10/2006;3292;;Centro-Oeste;5;2.47;0.03;crédito;11;3.9
13379;5/28/2023;1689;Eletrônicos;Sudeste;1;205.5;0.1;débito;9;1.1
85566;11/01/2018;3819;Saúde;Norte;3;53.59;0.27;boleto;4;5.0
85023;06/03/2010;4531;Brinquedos;Norte;16;507.06;0.27;pix;2;3.8
31860;02/11/2016;6791;Eletrônicos;Sudeste;12;23.03;0.29;pix;13;2.0
75226;04/04/2009;1862;;Sul;2;49.68;0.26;débito;20;2.3
53550;08/05/2013;5062;Beleza e Cosméticos;Sudeste;13;287.74;0.29;pix;3;4.8
105678;2/25/2025;6429;Beleza e Cosméticos;Centro-Oeste;9;100.39;0.11;crédito;23;3.3
92572;8/18/2010;6066;Beleza e Cosméticos;Sudeste;8;99.46;0.21;pix;25;2.7
113985;4/21/2012;3540;Automotivo;Norte;7;21.66;0.16;crédito;27;4.8
55734;6/15/2009;2347;;Sul;5;18.89;0.18;boleto;5;2.4
62001;7/30/2022;6222;Grocery;Norte;17;4.47;0.11;pix;9;3.8
71989;7/18/2011;3540;Beleza e Cosméticos;Norte;21;3.35;0.11;crédito;22;4.0
112907;3/15/2004;1436;;Norte;4;266.03;0.16;boleto;4;3.4
85040;5/23/2017;3952;Saúde;Centro-Oeste;15;44.94;0.12;crédito;20;3.9
41037;5/29/2025;5696;Saúde;Nordeste;13;456.74;0.29;pix;10;3.8
68435;3/19/2018;6224;Roupas e Acessórios;Sul;9;892.6;0.13;pix;1;5.0
55402;1/16/2016;2114;Eletrônicos;Sul;12;8.46;0.22;pix;1;4.3
72072;3/27/2016;6098;Roupas e Acessórios;Nordeste;9;7.34;0.22;pix;28;4.2
77460;04/01/2020;3130;Roupas e Acessórios;Sudeste;1;14.67;0.25;pix;27;3.9
24006;5/25/2007;4423;;Sudeste;4;545.08;0.15;crédito;16;3.6
109375;01/04/2016;4100;Roupas e Acessórios;Sul;15;2.41;0.19;crédito;1;4.6
106575;07/01/2007;1100;;Nordeste;2;2.0;0.01;pix;11;3.7
80533;2/19/2022;6140;Grocery;Sudeste;6;79.22;0.17;boleto;3;4.2
81774;8/25/2014;3089;Eletrônicos;Norte;2;50.62;0.2;pix;10;2.9
70256;4/24/2018;5216;Roupas e Acessórios;Nordeste;3;42.21;0.26;crédito;13;2.2
90012;02/12/2005;3471;;Sudeste;2;5.67;0.29;boleto;18;3.1
12040;3/18/2014;1107;Beleza e Cosméticos;Nordeste;3;535.09;0.27;débito;5;1.3
73231;1/18/2020;2906;Eletrônicos;Nordeste;23;2.17;0.06;pix;14;3.9
97829;7/13/2011;6859;Roupas e Acessórios;Sudeste;12;935.94;0.2;boleto;17;5.0
86214;11/11/2013;2767;Esportes;Sudeste;22;50.34;0.15;crédito;20;3.4
47943;03/02/2020;3407;Eletrônicos;Norte;9;20.96;0.01;crédito;23;4.4
37964;9/15/2009;5436;;Centro-Oeste;28;418.8;0.14;boleto;13;3.4
106767;08/04/2013;2704;Beleza e Cosméticos;Sul;5;359.05;0.19;boleto;19;4.9
109391;02/04/2008;3174;;Centro-Oeste;3;8.63;0.15;boleto;20;5.0
50860;5/26/2011;1895;Roupas e Acessórios;Sudeste;1;26.0;0.07;crédito;8;5.0
92679;12/31/2008;3732;;Norte;27;162.35;0.14;pix;8;4.1
94580;1/21/2006;3742;;Sul;7;12.82;0.13;débito;21;4.3
33829;10/29/2020;5232;Esportes;Centro-Oeste;1;104.07;0.03;pix;25;2.8
14297;02/12/2014;1661;Eletrônicos;Sudeste;1;61.99;0.26;débito;6;2.2
